               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  74,            0.032834,            0.038782,            0.005268,             0.92269,             0.89507,             0.96011,             0.75117,            0.026484,            0.019766,           0.0027535,            0.002773,            0.002773,            0.002773
                  75,            0.032912,            0.041962,           0.0053434,             0.92983,             0.88613,             0.95685,             0.75366,            0.026443,            0.019643,           0.0027161,            0.002674,            0.002674,            0.002674
                  76,            0.032739,            0.034784,           0.0049242,              0.9213,             0.89303,             0.95471,             0.74781,            0.026568,            0.019609,           0.0026765,            0.002575,            0.002575,            0.002575
                  77,            0.031638,            0.035639,           0.0045653,             0.93368,             0.88614,             0.95525,             0.75065,            0.025992,            0.019496,           0.0026584,            0.002476,            0.002476,            0.002476
                  78,            0.031027,            0.037326,           0.0047641,             0.92246,             0.89485,             0.95512,               0.748,             0.02642,            0.019513,           0.0026269,            0.002377,            0.002377,            0.002377
                  79,            0.032551,            0.038139,           0.0051126,              0.9115,             0.90669,             0.95691,             0.75537,            0.025897,            0.019362,           0.0026007,            0.002278,            0.002278,            0.002278
                  80,            0.029677,            0.031914,           0.0049902,             0.91745,             0.89618,             0.95591,             0.75148,             0.02611,            0.019409,           0.0026014,            0.002179,            0.002179,            0.002179
                  81,            0.031939,            0.040069,           0.0048463,             0.90738,             0.90779,             0.95629,             0.75328,            0.025619,            0.019197,           0.0025791,             0.00208,             0.00208,             0.00208
                  82,            0.033627,            0.033852,           0.0053963,             0.91584,             0.90304,             0.95508,             0.75256,            0.025844,            0.019182,           0.0025477,            0.001981,            0.001981,            0.001981
                  83,             0.02958,            0.037542,           0.0044931,              0.9227,             0.90112,             0.95607,             0.75749,            0.025412,            0.019088,           0.0025174,            0.001882,            0.001882,            0.001882
                  84,            0.031172,            0.036521,           0.0047508,             0.92169,             0.90071,             0.95661,             0.76093,            0.025011,            0.018985,            0.002492,            0.001783,            0.001783,            0.001783
                  85,            0.027878,            0.032422,           0.0047699,             0.92342,             0.89783,              0.9569,             0.76489,            0.025086,            0.018992,           0.0024495,            0.001684,            0.001684,            0.001684
                  86,            0.031984,            0.037561,           0.0052112,             0.92494,             0.90429,             0.95866,             0.76694,            0.024903,            0.018907,           0.0023978,            0.001585,            0.001585,            0.001585
                  87,            0.029279,            0.033995,           0.0045879,              0.9249,             0.90295,             0.95878,             0.76055,            0.025151,            0.018882,           0.0023669,            0.001486,            0.001486,            0.001486
                  88,            0.028803,            0.033255,           0.0043323,             0.92888,             0.90154,             0.95896,             0.76277,            0.025105,             0.01882,           0.0023372,            0.001387,            0.001387,            0.001387
                  89,             0.02959,            0.034251,           0.0048408,             0.92279,             0.90315,             0.96012,             0.76645,            0.024673,             0.01865,           0.0023213,            0.001288,            0.001288,            0.001288
                  90,            0.029703,            0.035156,           0.0052231,             0.91927,             0.90172,             0.96048,             0.76982,            0.024487,            0.018531,           0.0023087,            0.001189,            0.001189,            0.001189
                  91,            0.030189,            0.036954,           0.0045136,             0.92143,             0.89833,              0.9585,             0.76894,            0.024473,            0.018474,           0.0023032,             0.00109,             0.00109,             0.00109
                  92,            0.028935,            0.036096,           0.0044202,             0.92251,             0.89938,             0.95892,             0.77234,            0.024364,            0.018373,           0.0022811,            0.000991,            0.000991,            0.000991
                  93,            0.029247,            0.038767,           0.0041794,             0.92135,             0.90001,             0.95894,             0.77303,            0.024251,            0.018281,            0.002272,            0.000892,            0.000892,            0.000892
                  94,            0.029727,            0.037291,           0.0052587,             0.93181,             0.89736,             0.95875,             0.77458,            0.024036,            0.018192,           0.0022602,            0.000793,            0.000793,            0.000793
                  95,            0.027448,            0.034135,           0.0042393,             0.93471,             0.89472,             0.95828,             0.77246,            0.023921,            0.018118,           0.0022459,            0.000694,            0.000694,            0.000694
                  96,            0.028418,            0.034617,           0.0044688,             0.93388,             0.89481,             0.95863,             0.77492,            0.023881,            0.018056,           0.0022371,            0.000595,            0.000595,            0.000595
                  97,            0.030155,            0.038273,           0.0047545,             0.93321,             0.89643,             0.95917,             0.77577,            0.023974,            0.018029,             0.00223,            0.000496,            0.000496,            0.000496
                  98,            0.027768,            0.035863,           0.0048299,             0.93524,             0.89455,             0.96003,             0.77818,            0.023738,            0.017928,           0.0022226,            0.000397,            0.000397,            0.000397
                  99,              0.0303,            0.038433,           0.0044185,             0.93552,             0.89423,              0.9593,             0.77584,            0.023645,            0.017883,           0.0022178,            0.000298,            0.000298,            0.000298
